time/fps,time/time_elapsed,time/total_timesteps,time/iterations,time/rollout_time,time/train_time,train/learning_rate,train/n_updates,train/clip_range,train/clip_fraction,train/value_loss,train/clip_range_vf,train/explained_variance,train/std,train/approx_kl,train/policy_gradient_loss,train/loss,train/entropy_loss
1638,19954,32702464,499,35.77136206626892,1.2409684658050537,0.0001,4980,0.1,0.061920166015625,12.321661520004273,1000.0,0.9196873307228088,0.7219074964523315,0.0016517625,-0.003393064418924041,5.5026373863220215,-25.423694801330566
1639,19990,32768000,500,35.2707359790802,1.1714718341827393,0.0001,4990,0.1,0.06939697265625,13.482064986228943,1000.0,0.9110133647918701,0.7217809557914734,0.0018399085,-0.003384641457523685,7.0848565101623535,-25.40946912765503
1639,20027,32833536,501,35.75217390060425,1.1781554222106934,0.0001,5000,0.1,0.07075347900390624,12.720709502696991,1000.0,0.9175413250923157,0.7213196754455566,0.0018928248,-0.003652300266548991,6.241347312927246,-25.39688985347748
1639,20064,32899072,502,35.814780712127686,1.155355453491211,0.0001,5010,0.1,0.072784423828125,13.325876998901368,1000.0,0.9100513458251953,0.72096848487854,0.0020323861,-0.003781888344383333,6.792228698730469,-25.37916898727417
1639,20102,32964608,503,36.40087032318115,1.1682040691375732,0.0001,5020,0.1,0.07599639892578125,13.645054006576538,1000.0,0.9120000004768372,0.7204351425170898,0.001866678,-0.003441443547490053,6.443329334259033,-25.36167206764221
1640,20139,33030144,504,36.10387301445007,1.1998603343963623,0.0001,5030,0.1,0.070843505859375,12.660001587867736,1000.0,0.9155669212341309,0.7195639610290527,0.0019551786,-0.0032129966391948985,5.570130825042725,-25.33585479259491
1640,20176,33095680,505,35.86115217208862,1.2083299160003662,0.0001,5040,0.1,0.0757904052734375,11.535968565940857,1000.0,0.9231071472167969,0.7188423871994019,0.0024738498,-0.003457486022671219,5.3248090744018555,-25.305776262283324
1640,20214,33161216,506,36.37137246131897,1.2316310405731201,0.0001,5050,0.1,0.0728485107421875,14.378680086135864,1000.0,0.90794438123703,0.7183687686920166,0.0019245513,-0.003334502805955708,7.190431594848633,-25.28103404045105
1640,20251,33226752,507,35.76422429084778,1.2283926010131836,0.0001,5060,0.1,0.0728240966796875,14.137006556987762,1000.0,0.9064447283744812,0.7178317308425903,0.0020394975,-0.0033321693626930937,7.3352155685424805,-25.25843529701233
1641,20287,33292288,508,35.28495693206787,1.1269760131835938,0.0001,5070,0.1,0.08219146728515625,14.532091212272643,1000.0,0.9032637476921082,0.7179059982299805,0.0021651792,-0.00322323520667851,7.141251087188721,-25.24603350162506
